Title,Note,URL,Comment
NoNozzy,Mountain Bike Trails,"https://www.google.com/maps/search/42.393692,-72.521857",
NoNozzy,26th Floor Lookout,"https://www.google.com/maps/search/42.389563,-72.528517",
NoNozzy,Amherst College Lookout,"https://www.google.com/maps/search/42.369811,-72.516957",
NoNozzy,The Drake,"https://www.google.com/maps/search/42.376189,-72.520242",
NoNozzy,Pelham Overlook,"https://www.google.com/maps/search/42.401002,-72.404125",
NoNozzy,Puffer's Pond Swing,"https://www.google.com/maps/search/42.416221,-72.517155",
NoNozzy,Blarney Townhouses,"https://www.google.com/maps/search/42.408827,-72.534751",
NoNozzy,Sugarloaf Lookout,"https://www.google.com/maps/search/42.47033,-72.591876",
NoNozzy,UMass Football Stadium,"https://www.google.com/maps/search/42.377334,-72.535408",
NoNozzy,Secrete Swing,"https://www.google.com/maps/search/42.396791,-72.519109",
NoNozzy,Campus Pond Cherry Blossom,"https://www.google.com/maps/search/42.3884587,-72.5265013",
NoNozzy,Rock Climbing Gym,"https://www.google.com/maps/search/42.384839,-72.526654",
NoNozzy,Mini Book Library,"https://www.google.com/maps/search/42.3798285,-72.5244533",
NoNozzy,Narnina,"https://www.google.com/maps/search/42.3807218,-72.5291272",



